partition,dirichlet_alpha,seed,spearman_rho,pearson_r,rmse,auroc,test_acc,fl_total_sec,shapley_overhead_pct
iid,,42,0.8000,0.8025,0.4116,1.0000,0.2351,3704.3,0.30
iid,,123,0.9000,0.9747,0.3775,1.0000,0.1956,3829.4,0.29
iid,,456,0.1000,0.9666,0.3525,1.0000,0.2255,3702.9,0.31
dirichlet,10.00,42,0.1000,0.5067,0.3295,1.0000,0.2088,3547.0,0.32
dirichlet,10.00,123,0.7000,0.9511,0.4115,1.0000,0.2042,3830.6,0.29
dirichlet,10.00,456,0.7000,0.7841,0.3540,1.0000,0.2394,3698.3,0.30
dirichlet,1.00,42,0.0000,0.5519,0.2698,1.0000,0.2152,3567.4,0.32
dirichlet,1.00,123,0.9000,0.7985,0.4406,1.0000,0.2362,3762.4,0.30
dirichlet,1.00,456,0.1000,0.4195,0.2945,1.0000,0.1775,3682.8,0.30
dirichlet,0.50,42,0.4000,0.6429,0.4019,1.0000,0.1945,3593.5,0.32
dirichlet,0.50,123,0.7000,0.9258,0.4124,1.0000,0.2308,3695.4,0.30
dirichlet,0.50,456,0.6000,0.8868,0.3726,1.0000,0.3058,3704.6,0.30
dirichlet,0.10,42,-0.4000,-0.2617,0.2484,1.0000,0.2466,3812.0,0.29
dirichlet,0.10,123,0.0000,0.2939,0.2536,1.0000,0.1862,3703.3,0.30
dirichlet,0.10,456,-0.3000,-0.2772,0.2159,1.0000,0.1431,3672.8,0.31
dirichlet,0.01,42,0.1000,-0.1962,2.6380,0.7500,0.1049,3824.3,0.29
dirichlet,0.01,123,0.7000,0.4500,0.4383,1.0000,0.1067,3700.4,0.30
dirichlet,0.01,456,0.6000,0.4446,0.4514,1.0000,0.1945,3725.5,0.30
