round,client_0,client_2,client_4,client_1,client_3
1,0.050417275428771974,0.025171194076538086,0.03925122737884522,0.02663134813308716,0.02724094867706299
2,0.007665060162544251,0.005033789873123169,-0.0020652034878730773,0.006300206184387207,0.0033181875944137576
3,0.01037976861000061,0.003904726505279541,-0.008671127557754517,0.007868114709854126,0.005194195508956909
4,0.008896790146827697,0.0036992338299751282,-0.007775689363479614,0.00833552360534668,0.006119555234909058
5,0.007062377333641052,0.005779891014099121,-0.01436893939971924,0.004863317012786865,0.00453901618719101
6,0.007481417655944824,0.00444806843996048,-0.018751882314682007,0.010486633777618408,0.00832892894744873
7,0.008821711540222169,0.0037317329645156863,-0.010162352323532105,0.005367991328239441,0.002578343152999878
8,0.006262064576148987,0.004800231754779816,-0.013451321125030518,0.004874356389045716,0.0041902059316635135
9,0.010903776884078979,0.008427746295928955,-0.02775608777999878,0.008772844672203064,0.006332310438156128
10,0.008010402917861939,0.0034065365791320803,-0.018372952938079834,0.006674250364303589,0.004728372693061829
11,0.010158233642578125,0.003889371156692505,-0.023924272060394287,0.008644816279411317,0.008034774065017701
12,0.01221827745437622,0.007154103517532349,-0.02434032440185547,0.00852129340171814,0.007471092939376831
13,0.01340028762817383,0.0056807023286819455,-0.03294913768768311,0.010315635204315186,0.0095254647731781
14,0.008885594606399537,0.004251339137554168,-0.024214134216308594,0.007241961359977722,0.006211767196655274
15,0.013255081176757813,0.007400907278060913,-0.03184996843338013,0.012473325729370117,0.012049009799957275
16,0.005785168409347534,0.003672451972961426,-0.014461956024169923,0.0048238164186477665,0.004741288721561432
17,0.010434812307357788,0.0038929376006126403,-0.025816113948822023,0.008433723449707031,0.006940627098083497
18,0.008457432985305786,0.004486569166183472,-0.023287959098815918,0.006895799040794372,0.00623842477798462
19,0.008664977550506592,0.004296759963035583,-0.024962635040283204,0.0070801985263824465,0.00801113247871399
20,0.010651378631591797,0.0035724937915802,-0.025965130329132082,0.0065347725152969365,0.007397209405899048
21,0.009029425978660584,0.0034399834275245667,-0.02352552652359009,0.0075552302598953245,0.006566483378410339
22,0.006459777951240539,0.0037825897336006167,-0.019617722034454346,0.003907049596309662,0.005021822452545166
23,0.010589563846588134,0.004283203482627868,-0.02796546220779419,0.008895865678787232,0.00864942729473114
24,0.00722126841545105,0.0038217443227767946,-0.02156933307647705,0.005127173066139221,0.00491990476846695
25,0.005711832046508789,0.003788765072822571,-0.02080328941345215,0.004259842336177826,0.0034993654489517212
26,0.010692408084869385,0.00454360842704773,-0.02626147270202637,0.009072785377502442,0.006849294304847717
27,0.007059063911437988,0.0030525022745132445,-0.018662426471710205,0.005363295078277588,0.006139531135559082
28,0.007508609294891357,0.0037066355347633363,-0.023727467060089113,0.005606251358985901,0.005103418827056885
29,0.007312146425247193,0.002479608952999115,-0.020257270336151125,0.004946160018444061,0.005040009021759034
30,0.0060666388273239134,0.0019814178347587587,-0.017984182834625245,0.003073137998580933,0.003703761100769043
31,0.006852512955665588,0.0011070503294467926,-0.01940068483352661,0.004004261493682861,0.00451821893453598
32,0.006691818237304688,0.0017763590812683106,-0.018662790060043337,0.0034668517112731935,0.004636738002300263
33,0.0059609532356262205,0.00212184339761734,-0.018209123611450197,0.004440299868583679,0.004450612366199493
34,0.006501070261001587,0.0005850601196289063,-0.018291823863983155,0.003700164556503296,0.003862111568450928
35,0.006915671825408936,0.0011456727236509323,-0.018372275829315186,0.0029713502526283265,0.003588482141494751
36,0.005483043789863587,0.00026658926159143446,-0.01642952561378479,0.0037204983830451967,0.004406382143497467
37,0.0031055960059165957,-0.00017919030040502548,-0.016933202743530273,0.0019256463646888733,0.0021297502517700195
38,0.005057778358459473,0.001274629533290863,-0.01563791275024414,0.003154299855232239,0.0039688339829444886
39,0.004895082712173462,-0.0011292429268360139,-0.01498723030090332,0.0026799055933952333,0.00308258056640625
40,0.0026231706142425537,-0.0008465353399515152,-0.01548508882522583,0.0024414679408073427,0.0013892944157123566
41,0.0037363624572753907,0.001441536694765091,-0.012920318841934205,0.0023903413116931915,0.0026659563183784487
42,0.004057702422142029,-0.0015156877040863037,-0.013802553415298463,0.0008476214855909348,0.0040899553894996644
43,0.0021918031573295595,-0.0010101772844791413,-0.01031092882156372,0.001668573021888733,0.0031254473328590393
44,0.0014522020518779755,-0.0019415923953056335,-0.012516616582870484,0.0007134582102298737,0.001456838846206665
45,0.003204525709152222,0.00037259750068187715,-0.007544827461242676,0.001833801120519638,0.0021645316481590272
46,0.00159822016954422,-0.0030955645442008973,-0.010132795572280884,0.00027775658294558524,0.00035844549536705016
47,0.001985486149787903,-0.0001950884610414505,-0.007188206315040588,0.002169695198535919,0.00032231323421001435
48,0.0005069661885499955,-0.0004949207603931427,-0.0073028051853179935,-0.0004655618593096733,0.0005064396187663079
49,0.0007832382619380951,-7.23852775990963e-05,-0.005823307633399963,0.0010026612877845765,0.0010037356615066528
50,0.0013235822319984437,4.901012405753136e-05,-0.006044508218765259,-4.9485964700579645e-05,0.000567525327205658
